NCTNumber,StudyResults,Sex,Age,Phases,Enrollment,FunderType,StudyType
NCT06230991,NO,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL
NCT05454722,NO,ALL,CHILD,NA,60,INDUSTRY,INTERVENTIONAL
NCT06453512,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,65,INDUSTRY,INTERVENTIONAL
NCT03143504,NO,ALL,CHILD,NA,180,OTHER,OBSERVATIONAL
NCT02915146,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,39,OTHER,INTERVENTIONAL
NCT00576238,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,55,INDUSTRY,INTERVENTIONAL
NCT00676884,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,25,INDUSTRY,INTERVENTIONAL
NCT05624112,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,44,INDUSTRY,INTERVENTIONAL
NCT02381028,NO,ALL,CHILD,NA,9,OTHER,INTERVENTIONAL
NCT03270566,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL
NCT06469385,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,9,INDUSTRY,INTERVENTIONAL
NCT00354510,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,190,INDUSTRY,INTERVENTIONAL
NCT05578482,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,45,OTHER,INTERVENTIONAL
NCT01119313,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL
NCT05704205,NO,ALL,"ADULT, OLDER_ADULT",NA,316,OTHER,INTERVENTIONAL
NCT04800185,NO,ALL,"CHILD, ADULT, OLDER_ADULT",EARLY_PHASE1,20,OTHER,INTERVENTIONAL
NCT03667014,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,34,OTHER,INTERVENTIONAL
NCT05719649,NO,ALL,CHILD,NA,72,INDUSTRY,INTERVENTIONAL
NCT06174493,NO,ALL,"ADULT, OLDER_ADULT",NA,500,INDUSTRY,OBSERVATIONAL
NCT06004986,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,216,OTHER,INTERVENTIONAL
NCT06509243,NO,ALL,ADULT,NA,132,OTHER,INTERVENTIONAL
NCT06504160,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,86,NIH,INTERVENTIONAL
NCT05502185,NO,ALL,"ADULT, OLDER_ADULT",NA,60,INDUSTRY,OBSERVATIONAL
NCT06455891,NO,ALL,"ADULT, OLDER_ADULT",NA,45,OTHER,OBSERVATIONAL
NCT05467046,NO,ALL,"ADULT, OLDER_ADULT",NA,16,INDUSTRY,OBSERVATIONAL
NCT06395948,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,471,INDUSTRY,INTERVENTIONAL
NCT06176040,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL
NCT04715087,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL
NCT05904509,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,32,OTHER,OBSERVATIONAL
NCT06553417,NO,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER_GOV,INTERVENTIONAL
NCT06244212,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL
NCT05286047,NO,ALL,CHILD,NA,100,INDUSTRY,INTERVENTIONAL
NCT06316609,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,456,OTHER,OBSERVATIONAL
NCT05969730,NO,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL
NCT06551363,NO,ALL,CHILD,NA,7,OTHER,OBSERVATIONAL
NCT05971355,NO,ALL,CHILD,NA,200,INDUSTRY,INTERVENTIONAL
NCT05783453,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,63,INDUSTRY,OBSERVATIONAL
NCT06585202,NO,ALL,ADULT,PHASE2,15,INDUSTRY,INTERVENTIONAL
NCT05523986,NO,ALL,"CHILD, ADULT",NA,300,OTHER,INTERVENTIONAL
NCT05466877,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,163,OTHER_GOV,INTERVENTIONAL
NCT06447506,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,158,INDUSTRY,INTERVENTIONAL
NCT05833880,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,89,OTHER,OBSERVATIONAL
NCT06026891,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,498,OTHER_GOV,INTERVENTIONAL
NCT02087943,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,191,INDUSTRY,INTERVENTIONAL
NCT06587685,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,472,INDUSTRY,INTERVENTIONAL
NCT06547372,NO,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL
NCT02906475,NO,ALL,CHILD,NA,160,INDUSTRY,INTERVENTIONAL
NCT05399368,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,229,INDUSTRY,INTERVENTIONAL
NCT06116526,NO,ALL,CHILD,PHASE4,30,OTHER,INTERVENTIONAL
NCT06492902,NO,ALL,"ADULT, OLDER_ADULT",NA,156,OTHER,INTERVENTIONAL
NCT05844618,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL
NCT05090982,NO,ALL,"ADULT, OLDER_ADULT",NA,150,OTHER,OBSERVATIONAL
NCT06238817,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,225,INDUSTRY,INTERVENTIONAL
NCT05439941,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,287,INDUSTRY,INTERVENTIONAL
NCT04826744,NO,ALL,"ADULT, OLDER_ADULT",NA,550,OTHER,OBSERVATIONAL
NCT04218877,NO,ALL,CHILD,NA,300,OTHER,OBSERVATIONAL
NCT04435392,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",107,INDUSTRY,INTERVENTIONAL
NCT06444165,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,55,INDUSTRY,INTERVENTIONAL
NCT05437887,NO,ALL,"CHILD, ADULT",NA,40,OTHER,INTERVENTIONAL
NCT06024499,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,210,INDUSTRY,INTERVENTIONAL
NCT05509023,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,102,INDUSTRY,INTERVENTIONAL
NCT06361992,NO,ALL,"CHILD, ADULT",PHASE3,58,INDUSTRY,INTERVENTIONAL
NCT05868824,NO,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL
NCT05391061,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,3000,INDUSTRY,OBSERVATIONAL
NCT05276323,NO,ALL,"CHILD, ADULT",PHASE2,30,OTHER,INTERVENTIONAL
NCT04556461,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,16,OTHER,INTERVENTIONAL
NCT06035835,NO,ALL,CHILD,NA,437,OTHER,OBSERVATIONAL
NCT06129136,NO,ALL,"ADULT, OLDER_ADULT",NA,142,INDUSTRY,INTERVENTIONAL
NCT05644691,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,119,INDUSTRY,OBSERVATIONAL
NCT06238765,NO,ALL,CHILD,NA,1500,NETWORK,OBSERVATIONAL
NCT05023668,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,10000,OTHER,OBSERVATIONAL
NCT04310189,NO,ALL,"ADULT, OLDER_ADULT",NA,45,OTHER,INTERVENTIONAL
NCT05455060,NO,ALL,"CHILD, ADULT",PHASE3,120,OTHER,INTERVENTIONAL
NCT05034822,NO,ALL,CHILD,PHASE1,29,INDUSTRY,INTERVENTIONAL
NCT04444726,NO,ALL,CHILD,NA,60,OTHER,INTERVENTIONAL
NCT05127421,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,77,INDUSTRY,INTERVENTIONAL
NCT06363461,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,24,INDUSTRY,INTERVENTIONAL
NCT05669794,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,300,INDUSTRY,OBSERVATIONAL
NCT06055361,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,45,INDUSTRY,INTERVENTIONAL
NCT06022874,NO,ALL,"ADULT, OLDER_ADULT",NA,30,INDUSTRY,OBSERVATIONAL
NCT06397781,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,100,OTHER,INTERVENTIONAL
NCT05694884,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,75,OTHER,INTERVENTIONAL
NCT06412094,NO,ALL,CHILD,NA,66,INDUSTRY,INTERVENTIONAL
NCT05158023,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,302,OTHER,INTERVENTIONAL
NCT03559075,NO,ALL,"ADULT, OLDER_ADULT",NA,480,OTHER,OBSERVATIONAL
NCT05717920,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,10,INDUSTRY,INTERVENTIONAL
NCT05398445,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,769,INDUSTRY,INTERVENTIONAL
NCT04564755,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,NA,INDUSTRY,EXPANDED_ACCESS
NCT05121480,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,421,INDUSTRY,INTERVENTIONAL
NCT05436535,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,600,NIH,INTERVENTIONAL
NCT04761978,NO,ALL,"ADULT, OLDER_ADULT",NA,150,OTHER,OBSERVATIONAL
NCT06032403,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,200,OTHER,INTERVENTIONAL
NCT05704738,NO,ALL,CHILD,PHASE3,500,INDUSTRY,INTERVENTIONAL
NCT05014438,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,17,INDUSTRY,INTERVENTIONAL
NCT05507580,NO,ALL,ADULT,PHASE4,461,INDUSTRY,INTERVENTIONAL
NCT05250115,NO,ALL,"ADULT, OLDER_ADULT",NA,750,INDUSTRY,OBSERVATIONAL
NCT05502848,NO,ALL,ADULT,NA,180,OTHER,INTERVENTIONAL
NCT05651711,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,726,INDUSTRY,INTERVENTIONAL
NCT05326672,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,240,OTHER,INTERVENTIONAL
NCT05882877,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,2200,INDUSTRY,INTERVENTIONAL
NA,28041, Bern,3010," Switzerland,Centre Hospitalier Universitaire Vaudois", Lausanne,1011," Switzerland,Universitaetsspital Zuerich"
NCT05614817,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT05984420,NO,ALL,CHILD,NA,200,INDUSTRY,INTERVENTIONAL
NCT05099315,NO,ALL,"ADULT, OLDER_ADULT",NA,600,OTHER,OBSERVATIONAL
NCT05215808,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,72,INDUSTRY,INTERVENTIONAL
NCT00484003,NO,ALL,CHILD,PHASE4,NA,INDUSTRY,INTERVENTIONAL
NCT05916365,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,200,INDUSTRY,INTERVENTIONAL
NCT03710044,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,0,INDUSTRY,INTERVENTIONAL
NCT06194045,NO,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL
NCT06366932,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,150,OTHER,INTERVENTIONAL
NCT05598762,NO,ALL,"CHILD, ADULT",NA,100,OTHER_GOV,INTERVENTIONAL
NCT06248814,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,54,INDUSTRY,INTERVENTIONAL
NCT05004324,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,308,INDUSTRY,INTERVENTIONAL
NCT04836858,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,71,INDUSTRY,INTERVENTIONAL
NCT05969717,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,20,OTHER,INTERVENTIONAL
NCT05048056,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,105,INDUSTRY,INTERVENTIONAL
NCT06169527,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,500,INDUSTRY,OBSERVATIONAL
NCT06553287,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,28,INDUSTRY,INTERVENTIONAL
NCT05633355,NO,ALL,CHILD,PHASE3,187,INDUSTRY,INTERVENTIONAL
NCT05375929,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,200,INDUSTRY,INTERVENTIONAL
NCT06553209,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,94,INDUSTRY,INTERVENTIONAL
NCT02001181,YES,ALL,ADULT,PHASE2,69,INDUSTRY,INTERVENTIONAL
NCT05155085,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,131,INDUSTRY,INTERVENTIONAL
NCT02091037,NO,ALL,"CHILD, ADULT",NA,114,OTHER,OBSERVATIONAL
NCT04392154,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,1188,INDUSTRY,INTERVENTIONAL
NCT05566262,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,15,OTHER,INTERVENTIONAL
NCT06277245,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,354,INDUSTRY,INTERVENTIONAL
NCT06216392,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,450,INDUSTRY,INTERVENTIONAL
NCT05692843,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,100,OTHER,INTERVENTIONAL
NCT05363904,NO,ALL,"ADULT, OLDER_ADULT",NA,240,OTHER,OBSERVATIONAL
NCT05819463,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,700,OTHER,OBSERVATIONAL
NCT06309355,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,36,INDUSTRY,INTERVENTIONAL
NCT05029895,NO,ALL,CHILD,NA,170,INDUSTRY,OBSERVATIONAL
NCT04212169,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,148,INDUSTRY,INTERVENTIONAL
NCT04178967,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,445,INDUSTRY,INTERVENTIONAL
NCT04921969,YES,ALL,CHILD,PHASE3,330,INDUSTRY,INTERVENTIONAL
NCT05696392,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,100,INDUSTRY,INTERVENTIONAL
NCT02594098,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,41,OTHER,INTERVENTIONAL
NCT05098821,NO,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,OBSERVATIONAL
NCT05671445,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL
NCT04110873,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,14,OTHER,INTERVENTIONAL
NCT04725136,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",96,INDUSTRY,INTERVENTIONAL
NCT04146363,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,424,INDUSTRY,INTERVENTIONAL
NCT05372003,NO,ALL,ADULT,EARLY_PHASE1,7,OTHER,INTERVENTIONAL
NCT03920852,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,41,INDUSTRY,INTERVENTIONAL
NCT05999799,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,175,INDUSTRY,INTERVENTIONAL
NCT05891119,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,21,INDUSTRY,INTERVENTIONAL
NCT05059509,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL
NCT05324618,NO,ALL,CHILD,PHASE4,200,OTHER,INTERVENTIONAL
NCT06116565,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,300,INDUSTRY,INTERVENTIONAL
NCT05394792,NO,ALL,"ADULT, OLDER_ADULT",NA,100,INDUSTRY,OBSERVATIONAL
NCT05724199,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,746,INDUSTRY,INTERVENTIONAL
NCT05442645,NO,ALL,"ADULT, OLDER_ADULT",NA,80,INDUSTRY,OBSERVATIONAL
NCT03610386,NO,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL
NCT06085521,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,150,INDUSTRY,INTERVENTIONAL
NCT04250350,YES,ALL,CHILD,PHASE3,206,INDUSTRY,INTERVENTIONAL
NCT02889081,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,487,OTHER,OBSERVATIONAL
NCT05601882,NO,ALL,"CHILD, ADULT",PHASE3,926,INDUSTRY,INTERVENTIONAL
NCT06192563,NO,ALL,CHILD,NA,150,INDUSTRY,OBSERVATIONAL
